Timestamp,Heart Rate
1699122725239,76.76
1699122735239,78.09
1699122745239,77.09
1699122755239,81.42
1699122765239,92.98
1699122775239,68.75
1699122785239,74.84
1699122795239,83.51
1699122805239,70.36
1699122815239,76.76
1699122825239,76.76
1699122835239,74.69
1699122845239,69.04
1699122855239,81.08
1699122865239,70.36
1699122875239,79.75
1699122885239,77.25
1699122895239,72.37
1699122905239,81.25
1699122915239,69.04
1699122925239,73.32
1699122935239,74.53
1699122945239,68.46
1699122955239,74.07
1699122965239,85.71
1699122975239,81.93
1699122985239,81.59
1699122995239,73.01
1699123005239,85.71
1699123015239,80.75
1699123025239,87.68
1699123035239,86.47
1699123045239,74.07
1699123055239,78.43
1699123065239,88.61
1699123075239,85.54
1699123085239,88.42
1699123095239,73.17
1699123105239,75.79
1699123115239,76.92
1699123125239,82.8
1699123135239,86.86
1699123145239,81.76
1699123155239,77.25
1699123165239,73.77
1699123175239,84.78
1699123185239,75.31
1699123195239,72.87
1699123205239,71.27
1699123215239,81.42
1699123225239,68.89
1699123235239,80.91
1699123245239,79.12
1699123255239,79.43
1699123265239,77.42
1699123275239,89.94
1699123285239,74.69
1699123295239,81.93
1699123305239,88.05
1699123315239,86.07
1699123325239,80.75
1699123335239,83.33
1699123345239,85.71
1699123355239,84.05
1699123365239,75.63
1699123375239,84.78
1699123385239,86.07
1699123395239,91.11
1699123405239,79.92
1699123415239,67.76
1699123425239,84.05
1699123435239,89.94
1699123445239,83.16
1699123455239,73.32
1699123465239,79.47
1699123475239,83.51
1699123485239,78.77
1699123495239,88.79
1699123505239,81.25
1699123515239,83.33
1699123525239,86.42
1699123535239,79.92
1699123545239,84.6
1699123555239,86.07
1699123565239,85.54
1699123575239,84.78
1699123585239,88.05
1699123595239,80.91
1699123605239,82.28
1699123615239,83.33
1699123625239,84.78
1699123635239,77.42
1699123645239,83.87
1699123655239,65.22
1699123665239,79.12
1699123675239,76.76
1699123685239,78.95
1699123695239,75.0
1699123705239,77.59
1699123715239,88.05
1699123725239,76.11
1699123735239,80.91
1699123745239,74.23
1699123755239,74.69
1699123765239,82.19
1699123775239,67.62
1699123785239,91.11
1699123795239,80.41
1699123805239,75.31
1699123815239,74.07
1699123825239,74.69
1699123835239,77.59
1699123845239,81.93
1699123855239,83.33
1699123865239,85.53
1699123875239,88.05
1699123885239,74.16
1699123895239,74.23
1699123905239,81.42
1699123915239,74.23
1699123925239,77.42
1699123935239,75.0
1699123945239,79.75
1699123955239,81.59
1699123965239,77.09
1699123975239,84.23
1699123985239,83.69
1699123995239,71.58
1699124005239,69.92
1699124015239,81.45
1699124025239,82.11
1699124035239,76.6
1699124045239,70.97
1699124055239,68.89
1699124065239,70.97
1699124075239,64.79
1699124085239,67.35
1699124095239,82.11
1699124105239,71.12
1699124115239,75.0
1699124125239,76.43
1699124135239,68.04
1699124145239,69.18
1699124155239,68.75
1699124165239,74.23
1699124175239,69.92
1699124185239,70.51
1699124195239,81.93
1699124205239,69.04
1699124215239,77.75
1699124225239,68.32
1699124235239,70.06
1699124245239,85.54
1699124255239,87.44
1699124265239,64.66
1699124275239,77.92
1699124285239,74.53
1699124295239,73.77
1699124305239,74.38
1699124315239,83.16
1699124325239,75.0
1699124335239,74.49
1699124345239,84.85
1699124355239,84.78
1699124365239,63.42
1699124375239,77.59
1699124385239,78.95
1699124395239,84.68
1699124405239,79.12
1699124415239,89.74
1699124425239,81.76
1699124435239,87.68
1699124445239,83.33
1699124455239,79.59
1699124465239,86.42
1699124475239,79.27
1699124485239,84.05
1699124495239,81.25
1699124505239,72.05
1699124515239,86.78
1699124525239,77.42
1699124535239,77.59
1699124545239,80.08
1699124555239,85.37
1699124565239,73.77
1699124575239,75.79
1699124585239,78.79
1699124595239,77.75
1699124605239,73.5
1699124615239,81.08
1699124625239,71.27
1699124635239,84.23
1699124645239,82.28
1699124655239,75.79
1699124665239,73.17
1699124675239,80.58
1699124685239,80.08
1699124695239,84.97
1699124705239,76.76
1699124715239,71.12
1699124725239,93.95
1699124735239,84.68
1699124745239,75.31
1699124755239,82.0
1699124765239,75.79
1699124775239,71.43
1699124785239,87.25
1699124795239,85.19
1699124805239,76.6
1699124815239,85.9
1699124825239,91.9
1699124835239,82.11
1699124845239,85.15
1699124855239,79.12
1699124865239,82.11
1699124875239,73.62
1699124885239,72.53
1699124895239,86.96
1699124905239,76.6
1699124915239,77.92
1699124925239,76.6
1699124935239,91.46
1699124945239,81.59
1699124955239,86.07
1699124965239,77.25
1699124975239,74.23
1699124985239,78.43
1699124995239,80.25
1699125005239,73.99
1699125015239,79.75
1699125025239,85.15
1699125035239,78.63
1699125045239,76.76
1699125055239,81.08
1699125065239,88.98
1699125075239,79.47
1699125085239,79.3
1699125095239,70.21
1699125105239,78.6
1699125115239,85.19
1699125125239,83.87
1699125135239,77.59
1699125145239,76.27
1699125155239,81.25
1699125165239,77.75
1699125175239,82.45
1699125185239,81.42
1699125195239,78.26
1699125205239,86.67
1699125215239,87.14
1699125225239,80.41
1699125235239,84.78
1699125245239,73.5
1699125255239,77.92
1699125265239,84.23
1699125275239,74.53
1699125285239,78.77
1699125295239,79.75
1699125305239,83.87
1699125315239,80.91
1699125325239,73.62
1699125335239,83.16
1699125345239,82.98
1699125355239,73.99
1699125365239,76.43
1699125375239,87.5
1699125385239,76.21
1699125395239,87.05
1699125405239,76.11
1699125415239,82.98
1699125425239,78.95
1699125435239,83.16
1699125445239,80.91
1699125455239,91.11
1699125465239,81.59
1699125475239,82.63
1699125485239,89.36
1699125495239,82.28
1699125505239,90.71
1699125515239,89.74
1699125525239,81.76
1699125535239,80.41
1699125545239,78.26
1699125555239,88.98
1699125565239,80.36
1699125575239,75.95
1699125585239,68.89
1699125595239,74.07
1699125605239,82.45
1699125615239,88.42
1699125625239,74.69
1699125635239,88.24
1699125645239,73.5
1699125655239,85.19
1699125665239,75.79
1699125675239,72.53
1699125685239,85.53
1699125695239,76.43
1699125705239,74.23
1699125715239,64.94
1699125725239,73.92
1699125735239,74.23
1699125745239,74.07
1699125755239,86.96
1699125765239,71.43
1699125775239,79.47
1699125785239,75.95
1699125795239,86.42
1699125805239,73.77
1699125815239,81.82
1699125825239,84.05
1699125835239,83.33
1699125845239,75.47
1699125855239,89.74
1699125865239,82.63
1699125875239,66.67
1699125885239,79.75
1699125895239,85.34
1699125905239,84.78
1699125915239,88.24
1699125925239,86.28
1699125935239,69.33
1699125945239,79.92
1699125955239,81.42
1699125965239,68.18
1699125975239,79.82
1699125985239,78.09
1699125995239,85.37
1699126005239,71.9
1699126015239,78.95
1699126025239,69.04
1699126035239,81.08
1699126045239,90.91
1699126055239,83.16
1699126065239,81.08
1699126075239,84.23
1699126085239,70.66
1699126095239,78.43
1699126105239,76.11
1699126115239,80.9
1699126125239,82.45
1699126135239,84.97
1699126145239,96.57
1699126155239,77.09
1699126165239,88.24
1699126175239,85.54
1699126185239,81.25
1699126195239,89.94
1699126205239,86.6
1699126215239,84.05
1699126225239,71.27
1699126235239,83.16
1699126245239,78.6
1699126255239,72.69
1699126265239,86.07
1699126275239,81.76
1699126285239,78.09
1699126295239,79.59
1699126305239,82.28
1699126315239,68.04
1699126325239,72.85
1699126335239,85.37
1699126345239,75.63
1699126355239,80.08
1699126365239,78.6
1699126375239,72.05
1699126385239,78.95
1699126395239,84.97
1699126405239,88.98
1699126415239,65.5
1699126425239,69.33
1699126435239,77.59
1699126445239,69.77
1699126455239,77.59
1699126465239,90.91
1699126475239,77.75
1699126485239,81.08
1699126495239,74.07
1699126505239,85.71
1699126515239,89.94
1699126525239,91.28
1699126535239,83.69
1699126545239,78.77
1699126555239,79.43
1699126565239,80.91
1699126575239,91.11
1699126585239,79.47
1699126595239,80.9
1699126605239,85.9
1699126615239,86.6
1699126625239,84.97
1699126635239,96.77
1699126645239,83.69
1699126655239,76.27
1699126665239,69.62
1699126675239,74.53
1699126685239,72.87
1699126695239,75.63
1699126705239,74.69
1699126715239,75.79
1699126725239,73.33
1699126735239,78.43
1699126745239,88.61
1699126755239,76.11
1699126765239,77.75
1699126775239,79.59
1699126785239,85.89
1699126795239,83.33
1699126805239,79.92
1699126815239,79.12
1699126825239,81.25
1699126835239,81.25
1699126845239,74.69
1699126855239,80.41
1699126865239,66.67
1699126875239,80.75
1699126885239,67.9
1699126895239,79.92
1699126905239,83.69
1699126915239,94.74
1699126925239,76.6
1699126935239,70.97
1699126945239,72.69
1699126955239,70.66
1699126965239,71.12
1699126975239,74.23
1699126985239,87.05
1699126995239,79.75
1699127005239,71.74
1699127015239,77.42
1699127025239,77.75
1699127035239,80.25
1699127045239,78.95
1699127055239,83.16
1699127065239,87.87
1699127075239,74.07
1699127085239,78.43
1699127095239,79.75
1699127105239,69.92
1699127115239,79.27
1699127125239,80.41
1699127135239,84.97
1699127145239,76.76
1699127155239,72.05
1699127165239,83.51
1699127175239,79.75
1699127185239,72.05
1699127195239,71.74
1699127205239,85.34
1699127215239,81.42
1699127225239,68.18
1699127235239,87.14
1699127245239,79.59
1699127255239,79.43
1699127265239,79.75
1699127275239,89.45
1699127285239,69.92
1699127295239,74.23
1699127305239,74.38
1699127315239,76.11
1699127325239,91.09
1699127335239,89.94
1699127345239,78.6
1699127355239,82.11
1699127365239,79.75
1699127375239,75.63
1699127385239,87.14
1699127395239,90.13
1699127405239,80.91
1699127415239,82.28
1699127425239,82.45
1699127435239,76.11
1699127445239,85.37
1699127455239,85.71
1699127465239,86.09
1699127475239,86.28
1699127485239,80.58
1699127495239,84.97
1699127505239,93.75
1699127515239,84.42
1699127525239,75.95
1699127535239,74.84
1699127545239,86.86
1699127555239,82.98
1699127565239,80.91
1699127575239,77.09
1699127585239,86.6
1699127595239,77.25
1699127605239,73.01
1699127615239,89.94
1699127625239,82.45
1699127635239,89.55
1699127645239,82.38
1699127655239,78.95
1699127665239,79.92
1699127675239,73.17
1699127685239,76.43
1699127695239,81.08
1699127705239,75.47
1699127715239,80.36
1699127725239,76.43
1699127735239,82.8
1699127745239,82.28
1699127755239,85.89
1699127765239,78.6
1699127775239,83.87
1699127785239,87.87
1699127795239,90.71
